id;version;name;main;auto;path;include
1;138;Markets Research;false;true;withdrawal models multimedia;Internal Mouse
2;61033;Isle;true;false;regional Shoes;optical functionalities Ohio
3;96638;Fresh;false;false;Licensed Dynamic;Cheese
4;8825;clicks-and-mortar;false;true;Customer-focused Loan flexibility;Officer Dale
5;25204;access Toys XSS;false;true;Union haptic;generation Music Wooden
6;53391;capacitor neutral Division;false;true;auxiliary Cambridgeshire Borders;Soft Wooden
7;13672;quantifying;true;true;synthesizing;AI parallelism
8;93684;Manager;true;true;Direct bandwidth;Fresh Intelligent
9;29068;Path;true;false;Buckinghamshire enable Facilitator;drive Markets orchid
10;50035;adapter Concrete Savings;true;true;Lek extensible harness;index Plastic back-end
