id,version,game_name,host_url,passcode,created,started,finished,updated,score_a,score_b,ticks,playera_id,playerb_id,game_class_id
2,1070,Hex1,NULL,NULL,"2010-06-20 10:38:31.000000",NULL,NULL,"2017-01-29 12:08:27.000000",NULL,NULL,NULL,1,2,2
3,0,Player2s-vs-Player1s-3,NULL,NULL,"2010-12-03 16:55:46.000000",NULL,NULL,"2017-01-29 12:08:27.000000",NULL,NULL,NULL,2,1,1
88,1,OpenGame1-88,NULL,NULL,"2010-12-13 18:24:10.000000",NULL,NULL,"2017-01-29 12:08:27.000000",NULL,NULL,NULL,1,NULL,1
89,4,Player2b-vs-Player2s-89,NULL,NULL,"2010-12-13 21:06:41.000000",NULL,NULL,"2017-01-29 12:08:27.000000",NULL,NULL,NULL,4,2,1
92,4,Player2b-vs-Player2b-92,NULL,NULL,"2010-12-14 14:32:46.000000",NULL,NULL,"2017-01-29 12:08:27.000000",NULL,NULL,NULL,1,4,1
94,0,Player2b-vs-*Open*,NULL,NULL,"2010-12-14 14:34:53.000000",NULL,NULL,"2017-01-29 12:08:27.000000",NULL,NULL,NULL,4,NULL,1
96,1,OpenGame-96,NULL,NULL,"2010-12-14 14:41:32.000000",NULL,NULL,"2017-01-29 12:08:27.000000",NULL,NULL,NULL,2,4,1
97,1,OpenGame-97,NULL,MyCode,"2010-12-14 14:42:48.000000",NULL,NULL,"2017-01-29 12:08:27.000000",NULL,NULL,NULL,4,2,1
100,1,OpenName,NULL,NULL,"2010-12-14 16:01:09.000000",NULL,NULL,"2017-01-29 12:08:27.000000",NULL,NULL,NULL,4,2,1
148,24,Game-148-is-READY,https://game5.thegraid.com:8445/gamma-web/GameControl/148,NULL,"2011-01-12 13:54:42.000000",NULL,NULL,"2022-08-08 11:21:08.000000",NULL,NULL,NULL,4,1,1
149,1,Player2b-vs-Player1s,NULL,NULL,"2011-01-12 13:56:42.000000",NULL,NULL,"2017-01-29 12:08:27.000000",NULL,NULL,NULL,4,1,1
152,1,Player2b-vs-Player1s,NULL,NULL,"2011-01-12 14:04:42.000000",NULL,NULL,"2017-01-29 12:08:27.000000",NULL,NULL,NULL,4,1,1
153,2,Player1s-vs-Player2b,https://game4.thegraid.com:8443/gamma-web/GameControl/153,NULL,"2011-01-12 14:14:42.000000","2012-10-02 22:11:59.000000",NULL,"2019-01-14 20:30:13.000000",NULL,NULL,NULL,1,4,1
154,610,Player1s-vs-Player2b,https://game5.thegraid.com:8443/gamma-web/GameControl/154,NULL,"2011-01-12 14:24:42.000000",NULL,NULL,"2022-08-16 12:41:00.000000",NULL,NULL,NULL,1,4,1
155,1,Player2b-vs-Player1s,NULL,NULL,"2011-01-12 14:34:42.000000",NULL,NULL,"2017-01-29 12:08:27.000000",NULL,NULL,NULL,4,1,1
156,2,Player2s-vs-*Open*,NULL,NULL,"2011-01-12 14:44:42.000000",NULL,NULL,"2017-01-29 12:08:27.000000",NULL,NULL,NULL,2,4,1
157,3,Player2s-vs-Player2b,NULL,NULL,"2011-01-12 14:54:42.000000",NULL,NULL,"2017-01-29 12:08:27.000000",NULL,NULL,NULL,2,4,1
158,1,Player2s-vs-Player2b,NULL,NULL,"2011-01-12 15:04:42.000000",NULL,NULL,"2017-01-29 12:08:27.000000",NULL,NULL,NULL,2,4,1
159,1,Player2b-vs-Player2s,NULL,NULL,"2011-01-12 15:14:42.000000",NULL,NULL,"2017-01-29 12:08:27.000000",NULL,NULL,NULL,4,2,1
160,2,A2RiskPlayer-vs-A2RiskPlayer,NULL,NULL,"2011-01-12 15:24:42.000000",NULL,NULL,"2017-01-29 12:08:27.000000",NULL,NULL,NULL,5,5,4
161,2,A2RiskPlayer-vs-A2RiskPlayer,NULL,NULL,"2011-01-12 15:34:42.000000",NULL,NULL,"2017-01-29 12:08:27.000000",NULL,NULL,NULL,5,5,4
162,1,Player2b-vs-Player1s,NULL,NULL,"2011-01-12 15:44:42.000000",NULL,NULL,"2017-01-29 12:08:27.000000",NULL,NULL,NULL,4,1,1
163,0,Player2b-vs-Player1s,NULL,NULL,"2011-01-12 16:50:34.000000",NULL,NULL,"2017-01-29 12:08:27.000000",NULL,NULL,NULL,4,1,1
164,1,Player2b-vs-Player1s,NULL,NULL,"2011-01-12 16:55:19.000000",NULL,NULL,"2017-01-29 12:08:27.000000",NULL,NULL,NULL,4,1,1
165,0,Player2s-vs-*Open*,NULL,NULL,"2012-05-29 22:54:42.000000",NULL,NULL,"2017-01-29 12:08:27.000000",NULL,NULL,NULL,2,NULL,1
166,0,Player2b-vs-*Open*,NULL,NULL,"2016-12-13 12:34:53.000000",NULL,NULL,"2017-01-29 12:08:27.000000",NULL,NULL,NULL,4,NULL,1
167,0,newgame,NULL,NULL,"2016-12-13 12:35:12.000000",NULL,NULL,"2017-01-29 12:08:27.000000",NULL,NULL,NULL,4,NULL,1
168,0,newPlayer2sGame,NULL,NULL,"2016-12-17 11:08:21.000000",NULL,NULL,"2017-01-29 12:08:27.000000",NULL,NULL,NULL,2,NULL,1
