id;version;seed;map_name;map_size;npc_count;json_props;updated
1;40819;11641;Accountability Cotton;44193;18065;architect Synergistic;2022-08-09T04:07:16
2;28443;42361;Awesome;40536;89761;Cotton Fresh salmon;2022-08-09T10:16:14
3;36667;64236;orchid Centralized Soap;34963;87012;global Corporate;2022-08-09T00:19:10
4;54513;79631;Generic;89794;50369;Investment;2022-08-09T01:51:18
5;44397;72662;bleeding-edge;42055;51596;Virtual Ergonomic Computers;2022-08-09T14:04:31
6;98816;52473;blockchains;98986;3826;Pants program;2022-08-09T04:14:10
7;56875;85246;Summit bandwidth object-oriented;49478;25967;compressing;2022-08-09T16:02:19
8;49566;29997;Rubber Borders;10885;77530;modular deposit Vision-oriented;2022-08-09T17:58:29
9;71837;15014;Functionality;53617;76911;Assurance reboot Connecticut;2022-08-09T07:34:23
10;45020;35136;monitor;32827;59365;Alaska Branding;2022-08-09T03:57:04
