id,version,role,ready,game_inst_id,player_id
26,3,A,-1,2,1
27,4,B,-1,2,2
28,0,A,-1,3,2
36,0,A,-1,94,4
38,0,A,-1,96,2
39,0,A,-1,97,4
42,0,A,-1,100,4
99,4,A,7,148,4
101,4,A,-2,149,4
106,14,A,24,152,4
107,26,B,24,152,1
108,2,A,2,153,1
109,6,A,4,154,1
110,8,B,9,154,4
111,0,A,-1,155,4
112,0,A,-1,89,4
113,0,B,-1,89,2
114,3,B,2,153,4
115,0,A,-1,88,1
116,0,A,-1,92,1
117,0,B,-1,92,4
118,0,B,-1,96,4
119,0,A,-1,156,2
120,0,A,-1,157,2
121,0,B,-1,157,4
122,0,A,-1,158,2
123,0,A,-1,159,4
124,0,A,-1,160,5
125,0,A,-1,161,5
126,2,B,1,159,2
127,0,B,-1,100,2
128,4,B,3,158,4
129,1,B,-2,156,4
130,0,B,-1,97,2
131,0,A,-1,164,4
132,4,B,7,148,1
134,0,A,-1,165,2
135,0,A,-1,166,4
136,0,A,-1,167,4
137,0,A,-1,168,2
